Income,Low,Upp
"Under $2,000",0,1999
"$2,000 to $4,999",2000,4999
"$5,000 to $6,999",5000,6999
"$7,000 to $9,999",7000,9999
"$10,000 to $11,999",10000,11999
"$12,000 to $14,999",12000,14999
"$15,000 to $16,999",15000,16999
"$17,000 to $19,999",17000,19999
"$20,000 to $24,999",20000,24999
"$25,000 to $29,999",25000,29999
"$30,000 to $34,999",30000,34999
"$35,000 to $39,999",35000,39999
"$40,000 to $44,999",40000,44999
"$45,000 to $49,999",45000,49999
"$50,000 to $54,999",50000,54999
"$55,000 to $59,999",55000,59999
"$60,000 to $64,999",60000,64999
"$65,000 to $69,999",65000,69999
"$70,000 to $74,999",70000,74999
"$75,000 to $79,999",75000,75999
"$80,000 to $84,999",80000,84999
"$85,000 to $89,999",85000,89999
"$90,000 to $94,999",90000,94999
"$95,000 to $99,999",95000,99999
"$100,000 to $109,999",100000,109999
"$110,000 to $119,999",110000,119999
"$120,000 to $129,999",120000,129999
"$130,000 to $139,999",130000,139999
"$140,000 to $149,999",140000,149999
"$150,000 to $174,999",150000,174999
"$175,000 to $199,999",175000,199999
"$200,000 to $249,999",200000,249999
"$250,000 and over",250000,350000
TOTAL,,
