Religion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Buddhist,5092.90,3648.10,2446.00,4473.60,3164.40,6084.90,3844.60,7288.60,10968.90,15137.60,14821.30,13313.60,15560.20,14440.30,15716.80,14227.60,13813.80,12363.10,13447.40,12686.10,11344.70,9186.90,11678.80,9707.40,18598.40,14565.20,11890.40,10472.30,8149.20,16242.80,11548.90,10348.30,8308.20
Anglican,11799.00,7307.80,6054.30,10106.70,9846.20,17501.60,16341.20,31218.40,52929.80,53842.80,60515.90,63493.50,64747.30,61565.00,64087.60,63566.70,60455.40,63098.00,58019.20,54044.10,56010.30,51575.50,48014.70,49140.30,82039.70,75887.40,62336.60,55601.10,46680.70,89279.20,56622.20,57738.00,63678.20
Baptist,5055.60,2830.70,3564.50,5210.30,3781.50,6901.10,6541.70,13286.50,19313.40,23781.40,26059.40,26251.40,29088.40,28220.10,27300.60,27530.10,25451.00,24521.20,21938.90,22032.20,24561.40,19927.50,18651.50,16894.80,30493.40,27729.90,22699.50,18089.40,14068.70,29382.40,16275.30,15826.90,15825.20
Catholic,121580.00,58152.70,45182.00,115681.90,110236.80,162478.30,159907.00,253311.10,366667.70,444708.80,475686.90,495369.70,504868.70,510443.90,516728.50,496950.10,480613.50,480227.90,482385.90,466060.90,449679.40,415812.30,405797.50,374264.80,706336.10,582990.80,500067.30,431737.60,354642.10,665273.80,402144.60,382973.00,374705.90
Christian Orthodox,6284.50,5338.90,2557.80,5116.60,4134.30,7835.60,5688.60,10420.80,14655.70,17893.80,21317.10,20973.90,19378.70,18764.80,19980.80,20453.30,18132.50,19344.90,18683.50,15710.60,18211.40,16477.60,16896.90,14248.10,28845.60,26221.10,21210.90,19491.20,14323.70,29427.40,20307.10,17705.40,19688.80
Lutheran,3796.50,1461.10,1621.40,2211.20,2429.30,2920.30,4668.00,8717.30,12727.90,13928.40,18385.80,18049.30,17637.80,17954.80,20066.90,15903.90,15731.70,16137.60,15369.30,16074.30,13775.70,13250.60,13223.00,12452.00,23401.40,22582.20,22105.90,15925.90,14654.30,28087.30,17374.70,19659.10,18052.30
Pentecostal,4433.40,1994.50,1997.50,3367.30,4675.90,7016.60,5841.10,9696.40,14455.50,17571.30,20319.20,21182.90,21062.90,19670.90,22413.30,20296.00,17733.80,18031.50,16579.30,16930.90,15533.10,15464.60,14666.40,14161.80,24443.40,19032.90,15902.30,12253.00,11970.60,18958.00,10832.10,10107.90,7152.90
Presbyterian,3324.80,3298.70,1797.40,3017.90,1970.00,5074.20,4040.70,8168.90,12622.30,16302.80,19946.70,17528.80,16811.80,17562.00,16202.40,18807.10,17572.80,15109.10,16616.50,15139.60,15764.20,16389.60,11726.70,14895.10,24028.60,19567.80,18596.30,14708.40,14711.70,24571.60,14178.20,15764.80,17143.60
United Church,12887.30,7770.80,6259.70,10298.10,9794.30,16751.30,17682.60,35266.90,49806.60,63759.00,69812.60,78537.00,75561.30,76660.80,75057.20,75227.30,75673.20,72991.80,71704.50,70007.90,65696.40,61989.80,61785.70,55919.20,114251.30,91162.20,80409.00,78530.90,63809.50,121522.10,76307.10,75922.70,84709.50
Other Other,28820.40,15310.30,14635.10,25711.90,23035.80,42134.60,36904.40,58086.40,95082.20,114223.60,123212.00,121460.80,129446.40,127583.30,126664.50,120692.50,124945.40,115158.10,112211.80,110273.90,105337.10,97742.30,89971.90,82378.00,157465.30,136729.10,111889.70,98047.50,79607.80,144218.00,83208.60,84925.70,83334.00
Hindu,5063.40,4015.80,1510.30,4270.90,2973.30,5414.30,3502.40,7507.00,9956.70,13456.90,15573.20,16400.30,18315.70,19411.30,19472.60,20876.70,19758.10,16383.90,17624.60,17462.90,16064.30,14443.00,13919.90,14032.40,26400.20,25464.00,18570.70,16247.00,14710.40,27285.90,18432.70,19167.40,18776.90
Jewish,3317.90,1988.20,1242.20,2468.50,2439.10,3697.80,3002.90,4879.70,6903.10,9385.30,7587.90,9253.30,9192.90,9691.90,8983.80,6597.80,12629.30,9103.60,8761.70,9031.80,8349.10,7877.00,8305.70,7428.40,13073.50,10654.60,11079.80,9558.00,10717.50,19507.00,14598.60,20535.50,44240.70
Muslim,20167.70,11793.90,7692.70,15404.90,10874.40,21755.50,13956.30,24519.60,42421.60,57877.40,52858.90,54839.00,57391.50,57637.10,50808.00,46501.60,40087.80,36052.50,33036.20,29347.60,27629.80,27217.90,23562.70,22882.30,41939.60,34223.90,25559.80,23779.60,20618.80,36621.40,24264.00,24550.70,28268.50
Sikh,2630.90,1360.50,1814.00,3173.90,1739.40,3610.50,1882.80,3888.90,6645.60,8389.90,10164.20,12443.90,13328.50,16364.20,17099.10,13828.30,15190.00,18880.60,17352.20,15093.60,17390.60,15717.60,16908.40,13022.30,27717.50,23286.30,19227.00,19932.40,14986.30,32806.80,22520.40,23722.40,20921.30
Other,3719.40,1791.70,2200.20,3791.40,3941.40,5262.90,3338.20,5213.30,8958.90,7717.90,10365.90,8106.50,7965.20,7966.60,7905.20,6869.20,5867.10,4814.50,5200.40,5141.60,4074.10,4352.40,2721.10,2985.80,5980.80,4615.80,5222.20,4166.80,2586.10,4845.80,2849.20,2534.50,2768.50
Non-religious,132923.80,65966.50,52736.80,90871.30,76692.30,117669.20,88376.60,141730.40,232573.90,262697.10,276104.60,298608.10,306618.30,310124.90,297782.60,293674.10,284011.50,282484.40,275163.40,268692.80,262292.40,248501.10,250793.30,229770.90,418122.90,349254.20,293663.80,258668.50,218745.90,413797.70,245923.60,245583.50,265250.90
Total,370897.70,194030.00,153312.10,305176.30,271728.40,432108.60,375519.10,623200.10,956689.90,1140673.90,1222731.70,1275812.00,1306975.60,1314061.90,1306270.10,1262002.40,1227667.00,1204702.70,1184094.60,1143730.80,1111713.90,1035925.70,1008624.10,934183.50,1743137.70,1463967.40,1240431.10,1087209.60,904983.20,1701827.20,1037387.30,1027065.90,1072825.60
