X,yob,incnum,Bachelor,Male,marital,union,relfreq,moreno,religionlink,regionlink,classlink,racelink,respondent_class,weight,region,religion,race,joblossnum,taxarg,employment,agecat,taxnum,educsimple,jl2,province
1,1999,2,0,1,0,No,1,2,2,2,2,4,working class,0.433802147,Alberta,Buddhist, Chinese,NA,Ctl,Student,Age1524,3,HS,0,Alberta
2,1994,5,1,0,0,Yes,NA,2,3,3,3,4,middle class,0.125,Alberta,Non-religious, Chinese,3,Ctl,Working full time,Age1524,7,BachPlus,3,Alberta
3,1997,3,0,1,0,Yes,2,3,3,3,3,2,working class,0.325091879,Alberta,Catholic, Chinese,2,Eth,Working full time,Age1524,5,HS,2,Alberta
4,2000,2,1,0,0,No,2,2,4,3,4,4,working class,0.321818295,Alberta,Other Christian,Black,NA,Ctl,Student,Age1524,6,BachPlus,0,Alberta
5,1999,4,0,1,0,No,1,4,2,3,3,2,middle class,1.050158095,Alberta,Other Christian,"Aboriginal (First Nations, M??tis or Inuit)",1,Reg,Working full time,Age1524,7,HS,1,Alberta
6,1995,5,0,1,0,No,1,3,4,4,4,4,middle class,1.050158095,Alberta,Other Christian,"Aboriginal (First Nations, M??tis or Inuit)",NA,Eth,"Unemployed, looking for work",Age1524,1,HS,0,Alberta
7,2000,1,0,0,0,Not Employed,NA,2,4,4,4,3,working class,1.050158095,Alberta,Non-religious,"Aboriginal (First Nations, M??tis or Inuit)",NA,Reg,Student,Age1524,5,HS,0,Alberta
8,1996,4,0,0,0,Not Employed,NA,4,3,4,3,2,middle class,1.050158095,Alberta,Non-religious,"Aboriginal (First Nations, M??tis or Inuit)",NA,Ctl,"Unemployed, looking for work",Age1524,1,HS,0,Alberta
9,1995,7,0,0,0,Yes,4,1,3,2,3,3,affluent people,0.778648997,Alberta,Other Christian,Black,2,Ctl,Working full time,Age1524,3,HS,2,Alberta
10,1997,4,0,1,0,No,1,3,3,3,3,1,middle class,0.217428143,Alberta,Catholic,South Asian,NA,Eth,Student,Age1524,7,PostSec,0,Alberta
11,1994,3,0,0,0,Yes,4,3,4,4,4,4,working class,0.217428143,Alberta,Other Christian,South Asian,3,Ctl,Working part-time,Age1524,4,PostSec,3,Alberta
12,2000,6,0,1,0,No,4,3,4,3,2,2,middle class,0.453417483,Alberta,Muslim,South Asian,NA,Reg,Student,Age1524,6,HS,0,Alberta
13,1995,3,0,0,0,No,2,NA,2,3,3,4,working class,0.212163562,Alberta,Buddhist,South Asian,2,Ctl,Working part-time,Age1524,2,PostSec,2,Alberta
14,1993,4,0,0,1,No,NA,3,1,3,3,2,middle class,0.212163562,Alberta,Non-religious,South Asian,1,Ctl,On a long-term leave,Age1524,4,PostSec,1,Alberta
15,1993,7,1,1,0,No,2,NA,4,4,4,4,affluent people,0.238278639,Alberta,Catholic,White,2,Eth,Working full time,Age1524,3,BachPlus,2,Alberta
16,1995,4,1,0,0,No,NA,2,3,3,3,3,middle class,0.307909932,Alberta,Non-religious,White,1,Eth,Working full time,Age1524,5,BachPlus,1,Alberta
17,1993,7,1,0,0,No,2,2,2,2,3,2,affluent people,0.307909932,Alberta,Other Christian,White,1,Reg,Working full time,Age1524,3,BachPlus,1,Alberta
18,1995,4,1,0,1,No,4,3,3,3,4,4,middle class,0.307909932,Alberta,Catholic,White,1,Reg,Working full time,Age1524,2,BachPlus,1,Alberta
19,1998,2,0,0,0,Not Employed,NA,1,4,3,4,4,working class,0.763525346,Alberta,Non-religious,White,NA,Eth,"Unemployed, looking for work",Age1524,3,HS,0,Alberta
20,1995,5,0,0,1,No,NA,3,3,4,4,4,middle class,0.763525346,Alberta,Non-religious,White,NA,Eth,"Unemployed, looking for work",Age1524,1,HS,0,Alberta
21,1999,5,0,1,0,Yes,3,4,3,2,3,3,middle class,0.763525346,Alberta,Other Christian,White,1,Eth,Working full time,Age1524,2,HS,1,Alberta
22,1994,7,0,0,0,Yes,NA,2,2,4,2,2,affluent people,0.763525346,Alberta,Non-religious,White,1,Reg,Working full time,Age1524,2,HS,1,Alberta
23,2000,1,0,0,0,No,NA,3,4,3,4,3,working class,0.763525346,Alberta,Non-religious,White,2,Eth,Working part-time,Age1524,5,HS,2,Alberta
24,1998,7,0,0,0,No,NA,3,3,3,3,3,affluent people,0.763525346,Alberta,Non-religious,White,2,Reg,Working part-time,Age1524,2,HS,2,Alberta
25,1997,6,0,0,0,No,NA,3,2,3,3,3,middle class,0.763525346,Alberta,Non-religious,White,1,Eth,Working part-time,Age1524,4,HS,1,Alberta
26,1996,4,0,1,0,No,NA,3,2,3,2,2,middle class,0.763525346,Alberta,Non-religious,White,1,Eth,Working part-time,Age1524,5,HS,1,Alberta
27,1994,4,0,1,0,No,2,3,2,3,2,2,middle class,0.348764691,Alberta,Other Christian,White,1,Ctl,Working full time,Age1524,3,PostSec,1,Alberta
28,1993,6,0,0,0,No,1,3,1,3,3,3,middle class,0.348764691,Alberta,Other,White,2,Reg,Working full time,Age1524,2,PostSec,2,Alberta
29,1995,4,0,0,0,Not Employed,NA,3,1,2,3,3,middle class,0.348764691,Alberta,Non-religious,White,NA,Reg,"Unemployed, looking for work",Age1524,2,PostSec,0,Alberta
30,1995,3,0,0,1,No,NA,3,1,3,3,2,working class,0.348764691,Alberta,Non-religious,White,3,Eth,Working full time,Age1524,5,PostSec,3,Alberta
