X,yob,incnum,Bachelor,Male,marital,union,relfreq,moreno,religionlink,regionlink,classlink,racelink,respondent_class,weight,region,religion,race,joblossnum,taxarg,employment,agecat,taxnum,educsimple,jl2
1,1993,6,1,0,1,No,2,2,1,2,2,2,affluent people,0.597471898,Baden-Wurttemberg,Protestant,Germans,1,Ctl,Working full time,Age1524,1,BachPlus,1
2,1992,5,1,1,0,No,1,5,2,4,4,3,middle class,0.597471898,Baden-Wurttemberg,Protestant,Germans,1,Eth,Working full time,Age1524,1,BachPlus,1
3,1999,6,1,1,1,Yes,2,4,3,4,1,3,affluent people,0.597471898,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age1524,3,BachPlus,2
4,1993,2,1,1,0,No,1,2,1,4,2,4,working class,0.597471898,Baden-Wurttemberg,Protestant,Germans,2,Reg,Working part-time,Age1524,5,BachPlus,2
5,1997,4,1,0,0,No,2,4,2,2,3,2,middle class,0.597471898,Baden-Wurttemberg,Protestant,Germans,NA,Eth,Student,Age1524,4,BachPlus,0
6,1993,6,1,0,0,No,2,4,3,2,4,3,affluent people,0.597471898,Baden-Wurttemberg,Catholic,Germans,1,Eth,Working full time,Age1524,3,BachPlus,1
7,1994,1,1,1,0,No,1,1,2,3,4,1,working class,0.597471898,Baden-Wurttemberg,Catholic,Germans,NA,Ctl,Student,Age1524,5,BachPlus,0
8,1998,1,0,1,0,No,2,3,1,3,4,3,working class,1.771493759,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age1524,3,LessBach,2
9,1994,1,0,0,0,No,4,3,3,2,3,2,working class,1.771493759,Baden-Wurttemberg,Protestant,Germans,NA,Ctl,Student,Age1524,2,LessBach,0
10,1998,6,0,0,0,No,2,3,2,2,1,2,affluent people,1.771493759,Baden-Wurttemberg,Catholic,Germans,NA,Reg,Student,Age1524,4,LessBach,0
11,1994,4,0,1,0,No,NA,1,3,3,3,2,middle class,1.771493759,Baden-Wurttemberg,Non-religious,Germans,NA,Reg,Student,Age1524,7,LessBach,0
12,1993,1,0,0,0,No,4,3,3,3,3,4,working class,1.771493759,Baden-Wurttemberg,Other,Germans,NA,Eth,Student,Age1524,3,LessBach,0
13,1997,2,0,0,0,No,1,4,2,2,2,2,working class,1.771493759,Baden-Wurttemberg,Protestant,Germans,3,Ctl,Working part-time,Age1524,3,LessBach,3
14,1999,7,0,0,1,Yes,2,3,4,4,4,4,affluent people,1.771493759,Baden-Wurttemberg,Catholic,Germans,1,Ctl,Working full time,Age1524,5,LessBach,1
15,1993,5,0,1,0,No,1,3,NA,NA,NA,4,middle class,1.771493759,Baden-Wurttemberg,Protestant,Germans,NA,Eth,Student,Age1524,1,LessBach,0
16,1995,1,0,0,0,No,2,3,1,2,4,2,working class,1.771493759,Baden-Wurttemberg,Protestant,Germans,1,Ctl,Working full time,Age1524,4,LessBach,1
17,1999,4,1,1,0,,NA,NA,NA,NA,NA,NA,,0.2839296,Baden-Wurttemberg,,Germans,1,Eth,Working full time,Age1524,3,BachPlus,1
18,1994,2,0,0,1,No,1,3,2,2,2,2,working class,0.819176304,Baden-Wurttemberg,Protestant,Germans,1,Eth,Working full time,Age1524,3,LessBach,1
19,1996,5,0,1,0,No,NA,3,1,3,3,3,middle class,0.819176304,Baden-Wurttemberg,Non-religious,Germans,NA,Eth,Student,Age1524,5,LessBach,0
20,1994,3,1,1,0,Yes,2,4,2,2,2,2,middle class,1.615977886,Baden-Wurttemberg,Protestant,Romanians,2,Reg,Working part-time,Age1524,3,BachPlus,2
21,1995,5,0,1,0,No,2,4,2,2,2,2,middle class,4.864987159,Baden-Wurttemberg,Muslim,Turks,1,Reg,Working full time,Age1524,3,LessBach,1
22,1996,4,1,0,1,Yes,1,4,2,1,2,1,middle class,0.748275274,Baden-Wurttemberg,Muslim,Turks,4,Eth,Working full time,Age1524,3,BachPlus,4
23,1974,4,1,1,1,No,1,3,2,4,3,4,middle class,1.044252977,Baden-Wurttemberg,Protestant,Germans,2,Ctl,Working full time,Age2544,7,BachPlus,2
24,1973,3,1,1,1,No,NA,3,1,3,4,3,middle class,1.044252977,Baden-Wurttemberg,Non-religious,Germans,1,Eth,Working full time,Age2544,2,BachPlus,1
25,1981,1,0,0,1,Yes,3,3,3,3,2,2,working class,3.12849542,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age2544,4,LessBach,2
26,1974,2,0,0,1,No,NA,5,2,2,2,2,working class,3.12849542,Baden-Wurttemberg,Non-religious,Germans,NA,Ctl,"Unemployed, looking for work",Age2544,4,LessBach,0
27,1979,6,0,0,1,No,2,4,1,1,1,2,affluent people,3.12849542,Baden-Wurttemberg,Catholic,Germans,1,Ctl,Working full time,Age2544,4,LessBach,1
28,1988,6,1,1,1,No,NA,3,3,3,3,2,affluent people,0.415201982,Baden-Wurttemberg,Non-religious,Germans,2,Ctl,Working full time,Age2544,4,BachPlus,2
29,1990,5,1,1,0,No,1,2,2,2,4,2,middle class,0.415201982,Baden-Wurttemberg,Protestant,Germans,1,Eth,Working full time,Age2544,1,BachPlus,1
30,1973,5,1,0,0,No,3,2,2,3,3,3,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Eth,Working full time,Age2544,2,BachPlus,1
31,1980,7,1,0,0,No,2,3,2,3,3,4,affluent people,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Eth,Working full time,Age2544,4,BachPlus,1
32,1990,2,1,0,1,No,2,3,2,3,3,1,working class,0.415201982,Baden-Wurttemberg,Protestant,Germans,2,Reg,Working full time,Age2544,3,BachPlus,2
33,1983,3,1,0,0,Yes,NA,NA,4,3,3,3,middle class,0.415201982,Baden-Wurttemberg,Non-religious,Germans,1,Ctl,Working full time,Age2544,3,BachPlus,1
34,1985,4,1,1,1,Yes,2,3,3,3,3,3,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age2544,4,BachPlus,1
35,1988,6,1,0,1,No,1,4,2,3,3,3,affluent people,0.415201982,Baden-Wurttemberg,Catholic,Germans,3,Ctl,Working full time,Age2544,5,BachPlus,3
36,1981,5,1,0,0,No,1,3,1,2,3,2,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age2544,5,BachPlus,1
37,1991,3,1,1,1,Yes,3,1,1,2,3,2,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,2,Reg,Working part-time,Age2544,1,BachPlus,2
38,1986,6,1,0,1,Yes,2,2,4,4,4,4,affluent people,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age2544,1,BachPlus,1
39,1975,3,1,1,0,No,2,2,3,4,3,3,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Ctl,Working full time,Age2544,2,BachPlus,1
40,1983,6,1,1,1,No,NA,1,4,4,4,4,affluent people,0.415201982,Baden-Wurttemberg,Non-religious,Germans,2,Ctl,Working full time,Age2544,7,BachPlus,2
41,1985,4,1,1,0,No,1,1,1,1,2,2,middle class,0.415201982,Baden-Wurttemberg,Protestant,Germans,1,Reg,Working full time,Age2544,5,BachPlus,1
42,1974,5,1,0,1,No,1,3,1,3,3,3,middle class,0.415201982,Baden-Wurttemberg,Protestant,Germans,1,Reg,Working full time,Age2544,5,BachPlus,1
43,1982,3,1,0,0,No,1,5,1,1,1,1,middle class,0.415201982,Baden-Wurttemberg,Protestant,Germans,1,Reg,Working full time,Age2544,2,BachPlus,1
44,1983,6,1,1,1,No,NA,NA,4,3,2,3,affluent people,0.415201982,Baden-Wurttemberg,Non-religious,Germans,1,Ctl,Working full time,Age2544,7,BachPlus,1
45,1987,6,1,1,1,No,2,4,2,3,2,2,affluent people,0.415201982,Baden-Wurttemberg,Catholic,Germans,2,Eth,Working full time,Age2544,5,BachPlus,2
46,1977,6,1,0,1,No,2,1,3,3,1,3,affluent people,0.415201982,Baden-Wurttemberg,Protestant,Germans,3,Ctl,Working part-time,Age2544,3,BachPlus,3
47,1973,1,1,1,0,Not Employed,4,1,4,3,1,3,working class,0.415201982,Baden-Wurttemberg,Other,Germans,NA,Eth,"Unemployed, looking for work",Age2544,1,BachPlus,0
48,1991,4,1,0,1,Yes,1,5,3,3,4,3,middle class,0.415201982,Baden-Wurttemberg,Protestant,Germans,2,Reg,Working part-time,Age2544,3,BachPlus,2
49,1980,5,1,0,1,No,1,4,4,4,3,4,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,NA,Reg,Other,Age2544,3,BachPlus,0
50,1975,5,1,1,1,Yes,2,4,2,2,2,2,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,4,Eth,Working full time,Age2544,6,BachPlus,4
51,1973,6,1,0,1,Yes,1,3,1,2,2,2,affluent people,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Ctl,Working full time,Age2544,4,BachPlus,1
52,1973,3,1,0,0,Yes,NA,1,1,2,2,3,middle class,0.415201982,Baden-Wurttemberg,Non-religious,Germans,2,Reg,Working full time,Age2544,5,BachPlus,2
53,1978,7,1,0,1,No,2,3,1,2,1,2,affluent people,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age2544,4,BachPlus,1
54,1977,1,1,1,0,Not Employed,3,5,2,3,2,1,working class,0.415201982,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age2544,1,BachPlus,2
55,1990,7,1,1,1,Yes,2,3,2,4,2,4,affluent people,0.415201982,Baden-Wurttemberg,Protestant,Germans,1,Reg,Working full time,Age2544,5,BachPlus,1
56,1976,5,1,1,1,No,1,3,1,4,3,4,middle class,0.415201982,Baden-Wurttemberg,Protestant,Germans,NA,Ctl,"Unemployed, looking for work",Age2544,5,BachPlus,0
57,1983,6,1,0,1,No,1,3,1,2,1,2,affluent people,0.415201982,Baden-Wurttemberg,Protestant,Germans,2,Ctl,Working part-time,Age2544,5,BachPlus,2
58,1978,3,1,0,1,No,3,1,2,2,2,2,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,2,Eth,Working full time,Age2544,6,BachPlus,2
59,1975,4,1,1,0,No,NA,5,4,4,4,4,middle class,0.415201982,Baden-Wurttemberg,Non-religious,Germans,1,Reg,Working full time,Age2544,5,BachPlus,1
60,1991,5,1,1,0,No,1,3,1,4,3,3,middle class,0.415201982,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age2544,7,BachPlus,1
61,1981,7,1,1,1,No,NA,5,1,1,4,1,affluent people,0.415201982,Baden-Wurttemberg,Non-religious,Germans,2,Eth,Working full time,Age2544,6,BachPlus,2
62,1988,1,0,0,0,No,2,5,3,2,2,2,working class,1.217887997,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working part-time,Age2544,2,LessBach,1
63,1977,7,0,0,0,No,1,3,1,4,3,4,affluent people,1.217887997,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age2544,1,LessBach,2
64,1986,5,0,1,0,Yes,2,1,2,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age2544,2,LessBach,2
65,1990,2,0,0,0,No,2,1,1,2,4,2,working class,1.217887997,Baden-Wurttemberg,Protestant,Germans,NA,Reg,"Unemployed, looking for work",Age2544,5,LessBach,0
66,1978,6,0,1,1,No,2,3,1,2,2,2,affluent people,1.217887997,Baden-Wurttemberg,Protestant,Germans,1,Reg,Working full time,Age2544,7,LessBach,1
67,1979,4,0,1,0,No,2,3,3,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age2544,5,LessBach,1
68,1986,1,0,0,0,No,1,2,4,1,2,3,working class,1.217887997,Baden-Wurttemberg,Catholic,Germans,NA,Reg,Student,Age2544,7,LessBach,0
69,1974,3,0,1,1,No,NA,1,1,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Non-religious,Germans,1,Eth,Working full time,Age2544,2,LessBach,1
70,1986,3,0,0,0,Not Employed,2,3,3,3,3,3,middle class,1.217887997,Baden-Wurttemberg,Protestant,Germans,NA,Eth,Student,Age2544,3,LessBach,0
71,1984,1,0,0,0,No,1,1,1,2,3,4,working class,1.217887997,Baden-Wurttemberg,Protestant,Germans,NA,Reg,Other,Age2544,3,LessBach,0
72,1980,2,0,1,1,No,2,5,2,2,2,2,working class,1.217887997,Baden-Wurttemberg,Protestant,Germans,1,Eth,Working part-time,Age2544,3,LessBach,1
73,1990,1,0,1,1,No,1,1,1,2,1,2,working class,1.217887997,Baden-Wurttemberg,Protestant,Germans,NA,Ctl,Student,Age2544,2,LessBach,0
74,1977,6,0,0,1,No,4,3,1,2,1,3,affluent people,1.217887997,Baden-Wurttemberg,Catholic,Germans,2,Reg,Working part-time,Age2544,2,LessBach,2
75,1983,3,0,0,1,No,2,3,2,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Catholic,Germans,2,Ctl,Working full time,Age2544,3,LessBach,2
76,1985,5,0,0,0,No,NA,3,2,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Non-religious,Germans,2,Ctl,Working part-time,Age2544,6,LessBach,2
77,1982,3,0,0,0,No,1,4,3,2,2,3,middle class,1.217887997,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age2544,3,LessBach,2
78,1975,3,0,1,0,No,3,4,2,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Protestant,Germans,NA,Eth,"Unemployed, looking for work",Age2544,3,LessBach,0
79,1989,3,0,0,0,No,1,3,1,1,4,3,middle class,1.217887997,Baden-Wurttemberg,Protestant,Germans,1,Ctl,Working full time,Age2544,1,LessBach,1
80,1985,2,0,0,1,No,1,1,1,4,3,4,working class,1.217887997,Baden-Wurttemberg,Protestant,Germans,NA,Ctl,"Unemployed, looking for work",Age2544,1,LessBach,0
81,1977,3,0,0,0,Yes,NA,3,3,3,3,3,middle class,1.217887997,Baden-Wurttemberg,Non-religious,Germans,3,Eth,Working full time,Age2544,4,LessBach,3
82,1978,4,0,0,1,No,NA,1,1,1,1,1,middle class,1.217887997,Baden-Wurttemberg,Non-religious,Germans,NA,Ctl,Other,Age2544,4,LessBach,0
83,1976,3,0,1,0,No,2,5,3,3,3,3,middle class,1.217887997,Baden-Wurttemberg,Protestant,Germans,NA,Reg,Retired,Age2544,4,LessBach,0
84,1991,5,0,1,1,Yes,4,3,2,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Muslim,Germans,2,Reg,Working full time,Age2544,3,LessBach,2
85,1981,7,0,0,1,No,NA,1,4,3,4,4,affluent people,1.217887997,Baden-Wurttemberg,Non-religious,Germans,1,Eth,Working part-time,Age2544,4,LessBach,1
86,1984,6,0,1,1,Yes,1,3,1,2,1,2,affluent people,1.217887997,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age2544,4,LessBach,2
87,1980,5,0,1,1,No,1,1,1,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age2544,6,LessBach,2
88,1990,5,0,0,0,No,4,5,1,2,2,2,middle class,1.217887997,Baden-Wurttemberg,Protestant,Germans,1,Reg,Working full time,Age2544,5,LessBach,1
89,1988,4,0,0,1,Yes,2,4,3,3,3,3,middle class,1.217887997,Baden-Wurttemberg,Catholic,Germans,1,Eth,Working part-time,Age2544,6,LessBach,1
90,1983,6,0,1,1,No,1,1,3,3,3,3,affluent people,1.217887997,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working full time,Age2544,3,LessBach,2
91,1989,7,1,1,0,No,1,3,1,3,3,2,affluent people,0.200831171,Baden-Wurttemberg,Other,Germans,1,Ctl,Working full time,Age2544,2,BachPlus,1
92,1982,7,1,1,1,No,3,3,1,1,1,1,affluent people,0.200831171,Baden-Wurttemberg,Catholic,Germans,1,Eth,Working full time,Age2544,6,BachPlus,1
93,1983,7,1,0,1,No,NA,NA,1,1,1,2,affluent people,0.200831171,Baden-Wurttemberg,Non-religious,Germans,2,Ctl,Working part-time,Age2544,2,BachPlus,2
94,1991,1,0,1,0,No,1,1,1,2,2,2,working class,0.566782656,Baden-Wurttemberg,Protestant,Germans,NA,Reg,Other,Age2544,3,LessBach,0
95,1974,3,0,1,0,No,2,3,1,1,4,4,middle class,0.566782656,Baden-Wurttemberg,Protestant,Germans,1,Eth,Working part-time,Age2544,6,LessBach,1
96,1980,2,0,0,0,No,NA,NA,NA,NA,NA,NA,,0.566782656,Baden-Wurttemberg,,Germans,NA,Ctl,Retired,Age2544,3,LessBach,0
97,1980,7,0,0,0,No,1,4,3,2,3,2,affluent people,0.566782656,Baden-Wurttemberg,Catholic,Germans,1,Ctl,Working full time,Age2544,3,LessBach,1
98,1988,1,0,1,0,No,3,3,3,3,2,4,working class,0.566782656,Baden-Wurttemberg,Other,Germans,3,Reg,Working full time,Age2544,1,LessBach,3
99,1975,3,1,0,1,Yes,1,5,2,2,2,1,middle class,1.111560832,Baden-Wurttemberg,Muslim,Turks,1,Ctl,Working full time,Age2544,2,BachPlus,1
100,1988,1,1,1,0,Yes,2,5,3,4,2,2,working class,1.111560832,Baden-Wurttemberg,Protestant,Russians,1,Eth,Working full time,Age2544,3,BachPlus,1
101,1970,1,0,1,0,No,1,3,1,2,1,2,working class,2.757331858,Baden-Wurttemberg,Catholic,Germans,NA,Reg,Retired,Age4564,4,LessBach,0
102,1953,1,1,0,0,No,2,3,1,2,1,2,working class,0.368139244,Baden-Wurttemberg,Protestant,Germans,1,Eth,Working full time,Age4564,2,BachPlus,1
103,1957,2,1,0,0,No,1,3,1,2,3,2,working class,0.368139244,Baden-Wurttemberg,Protestant,Germans,2,Reg,Working full time,Age4564,5,BachPlus,2
104,1966,4,1,1,1,No,1,3,2,2,2,2,middle class,0.368139244,Baden-Wurttemberg,Catholic,Germans,NA,Ctl,Other,Age4564,3,BachPlus,0
