X,yob,incnum,Bachelor,Male,marital,union,relfreq,moreno,religionlink,regionlink,classlink,racelink,respondent_class,weight,region,religion,race,joblossnum,taxarg,employment,agecat,taxnum,educsimple,jl2
1,1998,1,0,0,0,Not Employed,2,3,1,1,1,1,working class,1.233019258,West Midlands,Muslim,Black African,NA,NA,"Unemployed, looking for work",Age1524,4,HS,0
2,1992,1,0,0,1,No,2,4,2,2,2,2,working class,0.138638392,West Midlands,Church of England,Black Caribbean,2,Eth,Working full time,Age1524,2,PostSec,2
3,1992,7,1,0,0,No,2,3,1,1,1,2,affluent people,0.125,West Midlands,Other Christian,Black African,2,NA,Working full time,Age1524,7,BachPlus,2
4,1992,6,1,0,0,No,2,2,2,2,2,2,affluent people,0.125,West Midlands,Other Christian,Black African,2,Eth,On a long-term leave,Age1524,4,BachPlus,2
5,1994,3,1,0,0,No,2,3,3,1,2,1,middle class,0.786793303,West Midlands,Muslim,Chinese,NA,Eth,Student,Age1524,6,BachPlus,0
6,1992,2,1,0,1,No,2,3,3,4,3,4,working class,0.257486269,West Midlands,Hindu,Indian,2,Ctl,Working full time,Age1524,7,BachPlus,2
7,1992,4,1,0,0,No,3,1,4,4,3,4,middle class,0.257486269,West Midlands,Muslim,Bangladeshi,1,NA,Working part-time,Age1524,6,BachPlus,1
8,1995,2,1,0,0,No,4,4,3,3,3,3,working class,0.17109567,West Midlands,Muslim,Bangladeshi,2,NA,Working full time,Age1524,4,BachPlus,2
9,1993,6,0,1,1,Yes,3,2,3,3,3,3,affluent people,3.342214726,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,4,NA,Working full time,Age1524,5,HS,4
10,1999,1,0,1,0,Yes,2,3,3,1,2,2,working class,3.342214726,West Midlands,Other Christian,White - Irish,2,Ctl,Working part-time,Age1524,4,HS,2
11,2000,7,0,1,0,Not Employed,NA,NA,1,1,3,2,affluent people,1.184587875,West Midlands,Non-religious,Other white,NA,NA,Student,Age1524,3,PostSec,0
12,1994,6,1,0,0,Yes,NA,3,2,1,2,1,affluent people,0.3000279,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age1524,5,BachPlus,2
13,1998,1,0,0,0,No,NA,1,2,3,3,2,working class,0.37649626,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Student,Age1524,5,PostSec,0
14,1992,4,0,0,0,No,NA,3,2,3,2,3,middle class,0.37649626,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,NA,Working full time,Age1524,5,PostSec,2
15,1992,3,0,1,0,No,NA,3,2,2,2,2,middle class,0.37649626,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,4,Eth,Working full time,Age1524,4,PostSec,4
16,1997,1,0,0,0,Yes,NA,5,3,2,3,2,working class,0.37649626,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,NA,Working full time,Age1524,2,PostSec,1
